DeviceID,BatchID,ManufacturingDate,RoHS_Compliant,Expected_SerialNumber_QR
ELEC001,B001,2024-05-01,TRUE,SN001
ELEC002,B001,2024-05-02,TRUE,SN002
ELEC003,B001,2024-05-03,FALSE,SN003
ELEC004,B001,2024-05-04,TRUE,SN004
ELEC005,B001,2024-05-05,TRUE,SN005
ELEC006,B001,2024-05-06,FALSE,SN006
ELEC007,B001,2024-05-07,TRUE,SN007
ELEC008,B002,2024-05-08,TRUE,SN008
ELEC009,B002,2024-05-09,FALSE,SN009
ELEC010,B002,2024-05-10,TRUE,SN010
ELEC011,B002,2024-05-11,TRUE,SN011
ELEC012,B002,2024-05-12,TRUE,SN012
ELEC013,B002,2024-05-13,TRUE,SN013
ELEC014,B002,2024-05-14,TRUE,SN014
ELEC015,B003,2024-05-15,FALSE,SN015
ELEC016,B003,2024-05-16,TRUE,SN016
ELEC017,B003,2024-05-17,TRUE,SN017
ELEC018,B003,2024-05-18,FALSE,SN018
ELEC019,B003,2024-05-19,TRUE,SN019
ELEC020,B003,2024-05-20,TRUE,SN020
ELEC021,B003,2024-05-21,FALSE,SN021
ELEC022,B004,2024-05-22,TRUE,SN022
ELEC023,B004,2024-05-23,TRUE,SN023
ELEC024,B004,2024-05-24,FALSE,SN024
ELEC025,B004,2024-05-25,TRUE,SN025
ELEC026,B004,2024-05-26,TRUE,SN026
ELEC027,B004,2024-05-27,TRUE,SN027
ELEC028,B004,2024-05-28,TRUE,SN028
ELEC029,B005,2024-05-29,TRUE,SN029
ELEC030,B005,2024-05-30,FALSE,SN030
ELEC031,B005,2024-05-31,TRUE,SN031
ELEC032,B005,2024-06-01,TRUE,SN032
ELEC033,B005,2024-06-02,FALSE,SN033
ELEC034,B005,2024-06-03,TRUE,SN034
ELEC035,B005,2024-06-04,TRUE,SN035
ELEC036,B005,2024-06-05,FALSE,SN036
ELEC037,B006,2024-06-06,TRUE,SN037
ELEC038,B006,2024-06-07,TRUE,SN038
ELEC039,B006,2024-06-08,FALSE,SN039
ELEC040,B006,2024-06-09,TRUE,SN040
ELEC041,B006,2024-06-10,TRUE,SN041
ELEC042,B006,2024-06-11,FALSE,SN042
ELEC043,B006,2024-06-12,TRUE,SN043
ELEC044,B006,2024-06-13,TRUE,SN044
ELEC045,B007,2024-06-14,FALSE,SN045
ELEC046,B007,2024-06-15,TRUE,SN046
ELEC047,B007,2024-06-16,TRUE,SN047
ELEC048,B007,2024-06-17,FALSE,SN048
ELEC049,B007,2024-06-18,TRUE,SN049
ELEC050,B007,2024-06-19,TRUE,SN050
ELEC051,B007,2024-06-20,FALSE,SN051
